Team,Predicted Team,O/U,Spread
IND,IND,55.5,0.875
LAL,LAL,60.0,1.5
SAC,MIL,59.5,1.625
LAC,UTAH,56.75,2.5
IND,IND,53.75,0.25
SA,SA,55.25,1.0
CHI,MEM,54.25,0.75
GS,GS,56.5,2.375
BKN,BKN,59.5,1.25
POR,BOS,57.0,0.625
ATL,MIN,59.0,1.25
CHA,HOU,57.0,1.25
DEN,DEN,59.5,0.875
TOR,TOR,56.5,0.875
ORL,ORL,54.0,1.875
LAC,LAC,57.5,0.875
NO,PHI,60.25,0.625
MIN,MIN,59.5,0.875
LAL,LAL,55.5,1.25
ATL,HOU,58.5,3.125
CHI,MIL,56.25,2.0
MIA,MIA,54.25,2.0
BKN,BKN,58.5,0.375
DET,DET,53.0,0.625
POR,POR,56.25,2.25
GS,GS,58.5,2.125
NY,SA,56.5,2.25
DEN,DEN,58.75,2.25
TOR,TOR,54.0,1.75
UTAH,UTAH,53.75,2.75
HOU,GS,58.0,3.0
MIN,MIL,57.5,3.25
SAC,OKC,60.0,1.375
BOS,BOS,55.25,2.625
DET,MIA,52.5,0.875
NO,LAL,58.75,1.625
WSH,IND,56.75,0.25
MEM,CLE,52.25,0.75
BKN,CHA,57.0,0.75
PHX,ATL,58.5,0.75
PHI,PHI,57.5,0.5
OKC,OKC,56.75,1.0
DAL,DEN,55.75,1.75
LAC,LAC,54.25,0.75
MIN,MIN,55.0,0.875
DET,DET,55.5,1.125
TOR,TOR,56.75,2.0
ORL,ORL,54.25,2.0
NO,IND,55.75,1.25
WSH,CHA,58.0,1.25
LAL,HOU,58.5,0.75
GS,GS,59.75,3.0
BOS,MIL,56.75,1.5
BKN,POR,58.0,0.75
PHI,PHI,55.25,1.375
PHX,CLE,55.5,0.25
OKC,OKC,59.75,1.125
NY,ATL,57.0,2.0
ORL,ORL,53.75,1.0
PHX,LAC,58.25,2.0
POR,GS,58.75,0.5
HOU,HOU,58.0,1.0
SAC,DEN,58.25,1.75
DAL,DAL,52.0,0.75
CHI,CHI,52.0,0.375
TOR,TOR,58.25,2.375
PHI,PHI,55.75,2.5
BOS,BOS,52.75,0.875
MIL,MIL,54.75,1.125
CLE,BKN,56.25,1.875
GS,GS,57.5,2.25
ORL,NO,55.75,1.125
MEM,SA,52.0,1.75
BOS,PHI,56.25,1.625
LAL,LAL,59.75,1.375
MIA,DEN,53.25,2.375
OKC,OKC,58.0,1.25
LAC,MIN,58.25,0.875
HOU,HOU,56.25,2.75
MIL,MIL,56.75,2.875
TOR,TOR,57.0,2.5
CHA,IND,53.75,1.375
WSH,DET,56.25,1.5
CLE,CLE,52.25,0.375
MIA,GS,55.5,3.5
ATL,ORL,56.25,0.25
SAC,SAC,57.75,2.25
LAL,PHI,58.75,1.75
DAL,POR,55.0,0.75
MIL,MIL,55.75,1.625
HOU,HOU,59.5,0.625
NO,NO,53.75,0.25
CHI,WSH,56.75,0.625
BOS,BOS,57.5,2.875
NY,TOR,54.0,3.375
CHA,CHA,57.25,0.5
CLE,IND,52.5,3.625
UTAH,UTAH,55.0,1.875
MIA,SAC,55.25,0.875
MIN,NO,57.75,1.5
GS,GS,57.5,4.25
MIL,MIL,56.5,1.375
BKN,BKN,56.75,2.0
CLE,WSH,55.25,2.5
DEN,PHI,57.5,1.5
DET,DET,51.25,2.0
SA,POR,56.5,1.5
OKC,OKC,53.75,3.375
BOS,BOS,57.0,2.25
ATL,TOR,58.25,1.625
MIN,ORL,53.75,0.875
LAC,IND,55.25,1.625
GS,GS,58.0,3.75
HOU,HOU,59.0,1.0
UTAH,UTAH,54.25,3.75
DAL,DAL,54.0,1.375
WSH,MIL,57.25,2.875
CHI,NO,56.5,0.375
DEN,DEN,56.5,0.875
MIA,POR,53.25,1.875
OKC,OKC,56.0,2.25
MEM,MIN,51.75,1.0
TOR,PHI,57.5,0.5
DET,DET,51.75,0.875
IND,LAL,54.5,0.625
BOS,BOS,52.5,2.5
LAC,CHA,56.0,0.75
SA,SA,57.75,0.5
HOU,HOU,57.0,2.125
NO,IND,54.75,0.875
BKN,MIL,57.5,1.875
WSH,WSH,57.5,1.75
DEN,DEN,52.25,0.5
LAC,TOR,56.5,2.375
BOS,BOS,57.0,1.0
NY,MEM,50.0,0.625
SAC,PHI,58.25,0.75
HOU,UTAH,55.5,1.75
PHX,PHX,58.75,0.75
MIN,MIN,55.5,0.375
GS,GS,58.75,3.0
SA,SA,57.5,2.625
MIA,MIA,51.0,0.625
CLE,DAL,52.75,1.375
WSH,MIL,56.75,1.625
BKN,ORL,55.25,0.75
CHI,CHA,54.0,1.625
DET,DET,54.0,0.5
DEN,DEN,56.0,0.875
UTAH,UTAH,56.75,3.0
MIA,OKC,54.75,0.875
NY,BOS,53.5,3.5
MEM,CHA,50.75,2.0
LAC,LAL,58.0,0.625
PHI,GS,60.25,2.0
BKN,SA,56.5,2.0
TOR,TOR,57.75,0.625
ORL,ORL,52.0,0.875
DET,DET,51.5,1.875
POR,UTAH,54.5,0.5
ATL,SAC,59.25,1.25
DEN,DEN,56.5,2.25
MIN,MIN,52.0,0.75
IND,IND,54.5,0.25
DAL,DAL,53.75,1.75
MIA,MIA,51.5,2.625
BOS,BOS,53.75,1.875
PHI,PHI,57.5,1.875
PHX,SA,56.5,3.375
HOU,HOU,58.5,3.375
CHI,BKN,55.25,1.75
ORL,OKC,55.5,0.75
MIL,MIL,54.25,1.75
CLE,WSH,54.75,2.0
LAC,LAC,58.5,1.5
MEM,DEN,51.25,1.5
BOS,BOS,54.75,2.25
GS,GS,57.25,1.75
CHA,CHA,55.5,3.0
LAL,LAL,57.0,2.0
NY,MIA,52.5,1.25
WSH,SA,55.5,1.0
MIN,UTAH,54.25,1.375
ORL,HOU,55.5,2.125
DAL,TOR,55.0,1.125
MIL,MIL,58.75,0.375
LAC,LAC,57.75,1.0
CHI,CHI,53.0,1.0
POR,POR,56.75,2.375
DEN,DEN,56.75,2.625
BOS,GS,58.5,1.0
MEM,IND,50.75,1.25
SA,SA,57.0,0.875
MIN,UTAH,54.25,2.625
DEN,DEN,55.5,3.75
CHA,MIL,57.5,2.75
DET,DAL,51.75,1.25
MEM,MEM,53.5,0.5
HOU,TOR,57.0,0.875
LAC,LAC,55.5,1.125
